abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
IN,3.2857142857142856,3.5106382978723403,3.5555555555555554,3.747813411078717,18.571428571428573,22.340425531914892,28.901234567901234,28.11661807580175,44615.0,14,94,81,343,Indianapolis
IA,3.3461538461538463,3.508771929824561,3.5538461538461537,3.6858736059479553,5.6923076923076925,8.087719298245615,7.8307692307692305,8.434944237918216,49203.0,13,57,65,269,Des Moines
KS,2.764705882352941,3.5434782608695654,3.590909090909091,3.6189024390243905,11.294117647058824,12.608695652173912,14.659090909090908,15.621951219512194,49202.0,17,92,88,328,Wichita
MO,3.8,3.515625,3.641025641025641,3.560344827586207,16.2,28.8125,27.46153846153846,26.5,51235.0,5,32,39,174,Kansas City
KY,3.0,3.6846153846153844,3.721311475409836,3.8141263940520447,14.181818181818182,15.03076923076923,14.459016393442623,18.070631970260223,38005.0,11,65,61,269,Louisville
OH,3.2142857142857144,3.459016393442623,3.4932432432432434,3.577259475218659,21.142857142857142,28.327868852459016,23.87837837837838,27.871720116618075,49602.0,7,61,74,343,Columbus
LA,3.9166666666666665,3.6884057971014492,3.68,3.8042813455657494,28.666666666666668,29.884057971014492,25.986666666666668,32.83180428134557,38681.0,12,69,75,327,New Orleans
ME,3.3333333333333335,3.622448979591837,3.542682926829268,3.8357843137254903,9.666666666666666,9.448979591836734,8.536585365853659,10.411764705882353,51851.0,9,49,82,204,Portland
MA,3.5,3.5517241379310347,3.5373831775700935,3.6639566395663956,64.07142857142857,74.32758620689656,85.7196261682243,83.6829268292683,63621.0,14,58,107,369,Boston
NH,3.5714285714285716,3.5972222222222223,3.1511627906976742,3.7107438016528924,9.571428571428571,6.083333333333333,7.4186046511627906,8.892561983471074,54664.0,7,36,43,121,Manchester
VA,3.3,3.3680555555555554,3.126865671641791,3.6,20.2,21.27777777777778,18.328358208955223,23.363636363636363,71117.0,10,72,67,330,Virginia Beach
DC,0.0,0.0,4.0,3.5,0.0,0.0,37.0,17.0,0.0,0,0,1,1,0
WV,3.75,3.5217391304347827,3.9545454545454546,3.308219178082192,2.3333333333333335,3.5652173913043477,3.3636363636363638,3.9726027397260273,45187.0,6,23,11,73,Charleston
MI,3.1923076923076925,3.695945945945946,3.5384615384615383,3.5827464788732395,14.153846153846153,20.135135135135137,20.371794871794872,20.052816901408452,28099.0,13,74,78,284,Detroit
