abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
IA,4.0,3.7222222222222223,3.7,3.558139534883721,58.333333333333336,14.76388888888889,69.2,53.38953488372093,49203.0,3,72,5,172,Des Moines
KS,3.5,3.6714285714285713,3.8,3.3392857142857144,73.0,24.885714285714286,130.5,90.7704081632653,49202.0,2,70,10,196,Wichita
KY,3.625,3.7948717948717947,3.90625,3.618279569892473,116.25,35.256410256410255,142.5,118.03225806451613,38005.0,4,78,16,186,Louisville
LA,3.5,3.865497076023392,4.075,3.6908783783783785,160.0,104.58479532163743,242.3,240.39864864864865,38681.0,1,171,20,296,New Orleans
ME,0.0,3.5833333333333335,3.888888888888889,3.758426966292135,0.0,30.805555555555557,129.77777777777777,140.68539325842696,51851.0,0,36,9,89,Portland
MD,3.5,3.7279411764705883,3.8636363636363638,3.544077134986226,112.33333333333333,27.147058823529413,198.4090909090909,154.45730027548208,47350.0,3,68,22,363,Baltimore
MI,4.0,3.6822033898305087,3.59375,3.5291970802919708,120.33333333333333,61.779661016949156,227.125,150.8029197080292,28099.0,3,118,16,274,Detroit
MA,3.8636363636363638,3.517857142857143,3.776470588235294,3.5589005235602094,573.8181818181819,332.35714285714283,613.2823529411764,443.22774869109946,63621.0,11,28,85,382,Boston
MN,4.5,3.659090909090909,3.828125,3.522093023255814,310.0,117.06818181818181,238.9375,164.06511627906977,56255.0,1,44,32,430,Minneapolis
MS,0.0,3.638888888888889,4.125,3.3541666666666665,0.0,10.61111111111111,63.25,46.333333333333336,39724.0,0,18,4,48,Jackson
MO,4.5,3.7611940298507465,4.055555555555555,3.566079295154185,241.0,67.59701492537313,225.38888888888889,148.6079295154185,51235.0,2,67,18,227,Kansas City
MT,0.0,3.409090909090909,2.5,3.6142857142857143,0.0,10.090909090909092,33.5,30.485714285714284,54222.0,0,11,2,35,Billings
NE,3.8333333333333335,3.609154929577465,4.0625,3.608108108108108,151.33333333333334,21.711267605633804,146.125,72.93243243243244,52672.0,3,142,8,222,Omaha
NV,4.0,4.209677419354839,3.807142857142857,3.728494623655914,818.3809523809524,337.38709677419354,713.4428571428572,480.6182795698925,51115.0,21,31,70,372,Las Vegas
NH,4.5,3.3181818181818183,3.5,3.58,205.0,12.909090909090908,214.5,96.64,54664.0,1,11,2,50,Manchester
NY,4.038461538461538,3.8181818181818183,3.8069306930693068,3.7429775280898876,1328.076923076923,866.7272727272727,938.3267326732673,862.8398876404494,58856.0,13,11,101,356,New York
NM,3.6666666666666665,3.738095238095238,3.4444444444444446,3.2934782608695654,111.33333333333333,56.5,91.22222222222223,117.52898550724638,50522.0,3,42,9,138,Albuquerque
NC,3.375,3.9044117647058822,3.909090909090909,3.5472779369627507,181.0,66.3970588235294,221.36363636363637,157.80229226361033,61017.0,4,68,22,349,Charlotte
SC,4.083333333333333,3.7672413793103448,3.9791666666666665,3.773109243697479,445.0,59.39655172413793,281.0,189.3781512605042,61467.0,6,58,24,238,Charleston
ND,2.0,3.95,3.125,3.49,6.0,17.3,43.0,39.82,52699.0,1,20,4,50,Fargo
OH,3.25,3.6463414634146343,3.8823529411764706,3.5863095238095237,178.5,56.73170731707317,174.88235294117646,124.35714285714286,49602.0,2,123,17,336,Columbus
OK,4.5,3.691011235955056,3.8095238095238093,3.564516129032258,191.0,39.40449438202247,93.19047619047619,85.25345622119816,52915.0,1,89,21,217,Oklahoma City
OR,4.5,3.7243589743589745,3.8823529411764706,3.747159090909091,158.0,252.75641025641025,578.7647058823529,323.11079545454544,62127.0,1,78,17,352,Portland
WA,4.25,3.8125,3.838235294117647,3.7113821138211383,725.5,338.1666666666667,662.6764705882352,427.3313008130081,83476.0,2,24,34,492,Seattle
RI,2.75,3.7532467532467533,3.7916666666666665,3.645390070921986,62.0,44.02597402597402,222.08333333333334,132.22695035460993,40335.0,4,77,12,141,Providence
SD,3.5,3.323529411764706,4.0,3.6634615384615383,8.0,9.0,83.5,38.28846153846154,56867.0,1,17,2,52,Sioux Falls
TN,3.5,3.7962962962962963,3.9814814814814814,3.5933147632311977,160.0,82.50617283950618,260.7037037037037,190.1949860724234,54310.0,2,81,27,359,Nashville-Davidson
TX,3.8,3.887323943661972,3.6794871794871793,3.540682414698163,450.4,158.7605633802817,291.8205128205128,255.6745406824147,47793.0,5,71,39,381,Houston
