abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
IA,4.0,3.6944444444444446,3.8461538461538463,3.645051194539249,170.0,52.43333333333333,82.38461538461539,89.75085324232082,49203.0,1,180,13,293,Des Moines
KS,4.5,3.728102189781022,3.9444444444444446,3.6844262295081966,143.0,53.24087591240876,156.94444444444446,140.13114754098362,49202.0,1,274,18,366,Wichita
KY,4.125,4.0,4.018518518518518,3.80188679245283,194.5,125.02912621359224,215.59259259259258,192.27044025157232,38005.0,4,103,27,318,Louisville
LA,4.5,4.035087719298246,4.0,3.8701298701298703,1149.5,413.1578947368421,640.6071428571429,591.1220779220779,38681.0,2,57,56,385,New Orleans
ME,4.166666666666667,3.5308641975308643,3.98,3.824110671936759,81.0,43.27777777777778,253.92,150.72727272727272,51851.0,3,162,25,253,Portland
MD,4.0,3.9545454545454546,3.717948717948718,3.7326478149100257,288.75,231.93939393939394,373.12820512820514,325.2827763496144,47350.0,4,66,39,389,Baltimore
MI,4.0,3.8992805755395685,3.838709677419355,3.609375,213.66666666666666,180.98561151079136,319.06451612903226,259.68125,28099.0,3,139,31,320,Detroit
MA,4.083333333333333,3.9925373134328357,3.8653846153846154,3.6988950276243093,784.25,554.0597014925373,800.4102564102565,707.0055248618785,63621.0,12,67,78,362,Boston
MN,4.25,3.764367816091954,3.880952380952381,3.7553444180522564,539.0,187.26436781609195,373.1666666666667,284.56769596199524,56255.0,2,87,42,421,Minneapolis
MS,0.0,3.1225961538461537,3.8333333333333335,3.4375,0.0,23.71153846153846,50.77777777777778,53.416666666666664,39724.0,0,208,9,240,Jackson
MO,4.333333333333333,4.0606060606060606,3.9318181818181817,3.834061135371179,237.33333333333334,201.9090909090909,280.1363636363636,272.46288209606985,51235.0,3,66,22,229,Kansas City
MT,0.0,3.0091743119266057,3.3333333333333335,3.5679611650485437,0.0,19.110091743119266,48.5,59.66019417475728,54222.0,0,109,6,103,Billings
NE,4.166666666666667,3.8161764705882355,4.0,3.6651090342679127,209.0,97.3970588235294,170.55555555555554,133.18691588785046,52672.0,3,136,18,321,Omaha
NV,4.089285714285714,4.125,3.9193548387096775,3.932664756446991,1235.0357142857142,1163.75,1545.4516129032259,1175.6332378223497,51115.0,28,60,62,349,Las Vegas
NY,4.086206896551724,4.026785714285714,3.8433734939759034,3.8617021276595747,1751.103448275862,1653.3392857142858,1512.4096385542168,1639.9270516717324,58856.0,29,56,83,329,New York
NH,4.5,3.281045751633987,3.6875,3.5153846153846153,205.0,41.66013071895425,191.875,97.6,54664.0,1,153,8,130,Manchester
OH,4.25,3.945,3.88,3.7908847184986594,246.0,204.57,262.2,233.84182305630026,49602.0,2,100,25,373,Columbus
NM,4.0,4.019354838709678,3.85,3.7379518072289155,255.0,142.29032258064515,198.6,191.09337349397592,50522.0,2,155,10,332,Albuquerque
SC,4.416666666666667,3.95959595959596,4.214285714285714,3.879947229551451,543.1666666666666,159.74747474747474,443.57142857142856,268.5672823218997,61467.0,6,99,28,379,Charleston
ND,3.0,3.0615942028985508,3.611111111111111,3.4385245901639343,5.0,17.10144927536232,64.66666666666667,44.78688524590164,52699.0,1,138,9,122,Fargo
OK,4.0,4.097560975609756,4.033333333333333,3.9014084507042255,146.5,131.7560975609756,179.26666666666668,165.54647887323944,52915.0,2,123,15,355,Oklahoma City
OR,4.0,4.132911392405063,3.888888888888889,3.9107142857142856,550.0,592.0379746835443,876.925925925926,607.2527472527472,62127.0,2,79,27,364,Portland
WA,4.045454545454546,4.015873015873016,3.888888888888889,3.8154613466334166,947.3636363636364,858.6666666666666,921.0555555555555,849.1371571072319,83476.0,11,63,54,401,Seattle
RI,4.0,3.839160839160839,3.9833333333333334,3.7816666666666667,239.0,128.1958041958042,276.7,187.14666666666668,40335.0,1,143,30,300,Providence
SD,3.5,3.0422535211267605,4.0,3.5153846153846153,8.0,12.415492957746478,59.875,43.01538461538462,56867.0,1,142,8,130,Sioux Falls
TX,4.083333333333333,3.978494623655914,3.977272727272727,3.786312849162011,599.6666666666666,575.6989247311828,657.0227272727273,590.195530726257,47793.0,6,93,44,358,Houston
TN,3.9166666666666665,4.064705882352941,3.973684210526316,3.8598382749326148,314.3333333333333,271.83529411764704,341.10526315789474,378.75471698113205,54310.0,6,85,38,371,Nashville-Davidson
UT,4.0,3.9327731092436973,3.9074074074074074,3.807142857142857,223.0,265.38655462184875,298.48148148148147,303.04,56994.0,2,119,27,350,Salt Lake City
VT,0.0,3.552380952380952,4.0,3.5567375886524824,0.0,46.6,188.0,114.68085106382979,48464.0,0,105,8,141,Burlington
VA,0.0,4.068181818181818,3.9347826086956523,3.8092783505154637,0.0,218.25,254.08695652173913,254.73453608247422,71117.0,0,88,23,388,Virginia Beach
WV,4.5,2.94375,3.5,3.375,49.0,11.1,68.16666666666667,47.46153846153846,45187.0,1,160,6,104,Charleston
WI,4.375,4.0058823529411764,3.967741935483871,3.7013157894736843,154.5,159.31764705882352,186.16129032258064,192.72105263157894,38097.0,4,85,31,380,Milwaukee
WY,4.0,2.9722222222222223,4.0,3.4431818181818183,25.0,25.444444444444443,37.0,65.88636363636364,59877.0,1,90,1,44,Cheyenne
